DESC_camp_id,title,location,description,date_opened,date_closed,peak_pop,date_peak_pop,fk_ENUM_camp_type_id,rowversion,has_display_image
1,Topaz (Central Utah),"Delta, Utah",,1942-09-11 00:00:00.0,1945-10-31 00:00:00.0,8130,1943-03-17 00:00:00.0,1,000000000003B4B3,0
2,Poston (Colorado River),"Parker, Arizona",,1942-06-02 00:00:00.0,1945-11-28 00:00:00.0,17814,1942-09-02 00:00:00.0,1,000000000003B4B4,0
3,Gila River,"Rivers, Arizona",,1942-07-20 00:00:00.0,1945-11-10 00:00:00.0,13348,1942-11-30 00:00:00.0,1,000000000003B4B5,0
4,Granada (Amache),"Amache, Colorado",,1942-08-27 00:00:00.0,1945-10-15 00:00:00.0,7318,1943-02-01 00:00:00.0,1,000000000003B4B6,0
5,Heart Mountain,"Cody, Wyoming",,1942-08-12 00:00:00.0,1945-11-10 00:00:00.0,10767,1943-01-01 00:00:00.0,1,000000000003B4B7,0
6,Jerome,"Denson, Arkansas",,1942-10-06 00:00:00.0,1944-06-30 00:00:00.0,8497,1943-02-11 00:00:00.0,1,000000000003B4B8,0
7,Manzanar,"Manzanar, California",,1942-06-02 00:00:00.0,1945-11-21 00:00:00.0,10046,1942-09-22 00:00:00.0,1,000000000003B4B9,0
8,Minidoka,"Hunt, Idaho",,1942-08-10 00:00:00.0,1945-10-28 00:00:00.0,9397,1943-03-01 00:00:00.0,1,000000000003B4BA,0
9,Rohwer,"McGehee, Arkansas",,1942-09-18 00:00:00.0,1945-11-30 00:00:00.0,8475,1943-03-11 00:00:00.0,1,000000000003B4BB,0
10,Tule Lake,"Newell, California",,1942-05-27 00:00:00.0,1946-03-20 00:00:00.0,18789,1944-12-25 00:00:00.0,1,000000000003B4BC,0
11,Puyallup (Camp Harmony),"Puyallup, Washington",,1942-04-28 00:00:00.0,1942-09-12 00:00:00.0,7390,1942-07-25 00:00:00.0,2,000000000003B4BD,0
